phase,date,category,sub_category,title,purpose,runtime_status,shadow_status,research_status,current_status,adoption_status,removed_or_disabled,related_phases,related_reports,summary,verdict
89,2026-05-27,Monitoring,script,Phase 89 mfe giveback min peak whatif review,Script run_phase89_mfe_giveback_min_peak_whatif_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase89_mfe_giveback_min_peak_whatif_review.json,Report generated; no runtime adoption,research_complete
90,2026-05-27,Monitoring,script,Phase 90 stability review,Script run_phase90_stability_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase90_stability_review.json,Report generated; no runtime adoption,research_complete
95,2026-05-27,Universe,script,Phase 95 universe diagnosis,Script run_phase95_universe_diagnosis.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase95_universe_diagnosis_20260522.json,Report generated; no runtime adoption,research_complete
96,2026-05-27,Universe,script,Phase 96 dynamic universe design,Script run_phase96_dynamic_universe_design.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase96_dynamic_universe_design.json,Report generated; no runtime adoption,research_complete
99,2026-05-27,Universe,script,Phase 99 shadow universe preflight,Script run_phase99_shadow_universe_preflight.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase99_shadow_universe_preflight_20260522.json,Report generated; no runtime adoption,research_complete
100,2026-05-27,Monitoring,script,Phase 100 jpx master setup check,Script run_phase100_jpx_master_setup_check.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase100_jpx_master_setup_check_20260522.json,Report generated; no runtime adoption,research_complete
101,2026-05-27,Universe,script,Phase 101 dynamic universe scoring review,Script run_phase101_dynamic_universe_scoring_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase101_dynamic_universe_scoring_review_20260522.json,Report generated; no runtime adoption,research_complete
103,2026-05-27,Monitoring,script,Phase 103 sampling revision,Script run_phase103_sampling_revision.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase103_sampling_revision_20260522.json,Report generated; no runtime adoption,research_complete
104,2026-05-27,Monitoring,script,Phase 104 board error rootcause,Script run_phase104_board_error_rootcause.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase104_board_error_rootcause_20260522.json,Report generated; no runtime adoption,research_complete
105,2026-05-27,Universe,script,Phase 105 register limit aware universe,Script run_phase105_register_limit_aware_universe.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase105_register_limit_aware_universe_20260522.json,Report generated; no runtime adoption,research_complete
106,2026-05-27,Monitoring,script,Phase 106 shadow live pipeline,Script run_phase106_shadow_live_pipeline.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase106_shadow_live_pipeline_20260521.json,Report generated; no runtime adoption,research_complete
107,2026-05-27,Monitoring,script,Phase 107 dynamic selection design,Script run_phase107_dynamic_selection_design.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase107_dynamic_selection_conditions_20260523.json,Report generated; no runtime adoption,research_complete
108,2026-05-27,Monitoring,script,Phase 108 opening screen design,Script run_phase108_opening_screen_design.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase108_opening_screen_design_20260519.json,Report generated; no runtime adoption,research_complete
109,2026-05-27,Universe,script,Phase 109 opening dynamic50 universe,Script run_phase109_opening_dynamic50_universe.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase109_opening_dynamic50_universe_20260522.json,Report generated; no runtime adoption,research_complete
110,2026-05-27,Monitoring,script,Phase 110 opening dynamic50 backtest review,Script run_phase110_opening_dynamic50_backtest_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase110_opening_dynamic50_backtest_review.json,Report generated; no runtime adoption,research_complete
111,2026-05-27,Monitoring,script,Phase 111 opening50 failure analysis,Script run_phase111_opening50_failure_analysis.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase111_opening50_failure_analysis.json,Report generated; no runtime adoption,research_complete
112,2026-05-27,Data,script,Phase 112 daily data scalability,Script run_phase112_daily_data_scalability.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase112_daily_data_scalability.json,Report generated; no runtime adoption,research_complete
113,2026-05-27,Universe,script,Daytrade suitability top50 rule,Script run_phase113_vol_liq_dynamic50_universe.py,runtime,none,none,active,adopted,false,,kabu_native/results/reports/phase113_runner_check_20260521.json,Report generated; no runtime adoption,Production runtime (Stack C)
114,2026-05-27,Universe,script,12:25 PM universe regen,Script run_phase114_am_pm_universe_design.py,removed,none,active,removed,superseded,true,148 intraday refresh,kabu_native/results/reports/phase114_am_pm_universe_design.json,Report generated; no runtime adoption,Superseded by Phase 148 intraday refresh
115,2026-05-27,Monitoring,script,Phase 115 am pm shadow pipeline,Script run_phase115_am_pm_shadow_pipeline.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase115_am_pm_shadow_pipeline_20260521.json,Report generated; no runtime adoption,research_complete
116,2026-05-27,Monitoring,script,Phase 116 am pm session policy,Script run_phase116_am_pm_session_policy.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase116_am_pm_session_policy.json,Report generated; no runtime adoption,research_complete
117,2026-05-27,Universe,script,Volatility liquidity universe,Script run_phase117_core10_dynamic40_design.py,runtime,none,none,active,adopted,false,,kabu_native/results/reports/phase117_core10_dynamic40_design.json,Report generated; no runtime adoption,Production runtime (Stack C)
118,2026-05-27,Monitoring,script,Phase 118 core10 dynamic40 pipeline,Script run_phase118_core10_dynamic40_pipeline.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase118_core10_dynamic40_pipeline_20260521.json,Report generated; no runtime adoption,research_complete
119,2026-05-27,Monitoring,script,Phase 119 daily core rotation design,Script run_phase119_daily_core_rotation_design.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase119_core_watchlist_status.json,Report generated; no runtime adoption,research_complete
120,2026-05-27,Exit,script,Phase 120 mfe mae exit review,Script run_phase120_mfe_mae_exit_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase120_mfe_mae_exit_review.json,Report generated; no runtime adoption,research_complete
121,2026-05-27,Exit,script,Phase 121 fade exit replay,Script run_phase121_fade_exit_replay.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase121_fade_exit_replay.json,Report generated; no runtime adoption,research_complete
122,2026-05-27,Monitoring,script,Phase 122 fade extension conditions,Script run_phase122_fade_extension_conditions.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase122_fade_extension_conditions.json,Report generated; no runtime adoption,research_complete
123,2026-05-27,Monitoring,script,Phase 123 conditional fade extension review,Script run_phase123_conditional_fade_extension_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase123_conditional_fade_extension_review.json,Report generated; no runtime adoption,research_complete
124,2026-05-27,Monitoring,script,Phase 124 mfe predictor review,Script run_phase124_mfe_predictor_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase124_mfe_predictor_review.json,Report generated; no runtime adoption,research_complete
125,2026-05-27,Monitoring,script,Phase 125 reacceleration review,Script run_phase125_reacceleration_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase125_reacceleration_review.json,Report generated; no runtime adoption,research_complete
126,2026-05-27,Exit,script,Phase 126 state based fade exit review,Script run_phase126_state_based_fade_exit_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase126_state_based_fade_exit_review.json,Report generated; no runtime adoption,research_complete
127,2026-05-27,Monitoring,script,Phase 127 fade watch shadow,Script run_phase127_fade_watch_shadow.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase127_fade_watch_shadow_design.json,Report generated; no runtime adoption,research_complete
128,2026-05-27,Monitoring,script,Phase 128 fade watch trigger review,Script run_phase128_fade_watch_trigger_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase128_fade_watch_trigger_review.json,Report generated; no runtime adoption,research_complete
129,2026-05-27,Monitoring,script,Phase 129 trading logic improvement plan,Script run_phase129_trading_logic_improvement_plan.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase129_trading_logic_improvement_plan.json,Report generated; no runtime adoption,research_complete
130,2026-05-27,Exit,script,Phase 130 range hold exit review,Script run_phase130_range_hold_exit_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase130_range_hold_exit_review.json,Report generated; no runtime adoption,research_complete
131,2026-05-27,Monitoring,script,Phase 131 reacceleration shadow review,Script run_phase131_reacceleration_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase131_reacceleration_shadow_review.json,Report generated; no runtime adoption,research_complete
132,2026-05-27,Position,script,Phase 132 cap sensitivity review,Script run_phase132_cap_sensitivity_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase132_cap_sensitivity_review.json,Report generated; no runtime adoption,research_complete
133,2026-05-27,Monitoring,script,Phase 133 switch old vs new review,Script run_phase133_switch_old_vs_new_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase133_switch_old_vs_new_review.json,Report generated; no runtime adoption,research_complete
134,2026-05-27,Monitoring,script,Phase 134 fade switch policy review,Script run_phase134_fade_switch_policy_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase134_fade_switch_policy_review.json,Report generated; no runtime adoption,research_complete
135,2026-05-27,Monitoring,script,Phase 135 fade switch cooldown shadow review,Script run_phase135_fade_switch_cooldown_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase135_fade_switch_cooldown_shadow_review.json,Report generated; no runtime adoption,research_complete
136,2026-05-27,Entry,script,Phase 136 cap3 entry replay review,Script run_phase136_cap3_entry_replay_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase136_cap3_entry_replay_review.json,Report generated; no runtime adoption,research_complete
137,2026-05-27,Replay,script,Phase 137 replay fidelity review,Script run_phase137_replay_fidelity_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase137_replay_fidelity_review.json,Report generated; no runtime adoption,research_complete
138,2026-05-27,Replay,script,Phase 138 hybrid replay engine review,Script run_phase138_hybrid_replay_engine_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase138_hybrid_replay_engine_review.json,Report generated; no runtime adoption,research_complete
139,2026-05-27,Monitoring,script,Phase 139 hybrid fade switch policy review,Script run_phase139_hybrid_fade_switch_policy_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase139_hybrid_fade_switch_policy_review.json,Report generated; no runtime adoption,research_complete
140,2026-05-27,Monitoring,script,Phase 140 fade switch priority analysis,Script run_phase140_fade_switch_priority_analysis.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase140_fade_switch_priority_analysis.json,Report generated; no runtime adoption,research_complete
141,2026-05-27,Monitoring,script,Phase 141 fade switch block shadow review,Script run_phase141_fade_switch_block_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase141_fade_switch_block_shadow_review.json,Report generated; no runtime adoption,research_complete
142,2026-05-27,Monitoring,script,Phase 142 fade switch block scope review,Script run_phase142_fade_switch_block_scope_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase142_fade_switch_block_scope_review.json,Report generated; no runtime adoption,research_complete
143,2026-05-27,Monitoring,script,Phase 143 fade first switch block shadow review,Script run_phase143_fade_first_switch_block_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase143_fade_first_switch_block_shadow_review.json,Report generated; no runtime adoption,research_complete
144,2026-05-27,Monitoring,script,Phase 144 fade first switch block refinement review,Script run_phase144_fade_first_switch_block_refinement_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase144_first_switch_block_refinement_review.json,Report generated; no runtime adoption,research_complete
145,2026-05-27,Monitoring,script,Phase 145 remaining issues review,Script run_phase145_remaining_issues_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase145_remaining_issues_review.json,Report generated; no runtime adoption,research_complete
146,2026-05-27,Monitoring,script,Phase 146 am pm multiday rescreening review,Script run_phase146_am_pm_multiday_rescreening_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase146_am_pm_multiday_rescreening_review.json,Report generated; no runtime adoption,research_complete
147,2026-05-27,Monitoring,script,Phase 147 shadow pilot readiness review,Script run_phase147_shadow_pilot_readiness_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase147_shadow_pilot_readiness_review.json,Report generated; no runtime adoption,research_complete
148,2026-05-27,Monitoring,script,AM/PM daily runner orchestration,Script run_phase148_pm_transition_fix_review.py,runtime,none,none,active,adopted,false,,kabu_native/results/reports/phase148_am_pm_daily_runner_20260521.json,Report generated; no runtime adoption,Production runtime (Stack C)
148b,2026-05-27,Monitoring,script,Phase 148b runner crash recovery,Script run_phase148b_runner_crash_recovery.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase148b_runner_crash_recovery_20260525.json,Report generated; no runtime adoption,research_complete
148c,2026-05-27,Monitoring,script,Phase 148c session recovery,Script run_phase148c_session_recovery.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase148c_session_recovery_20260525.json,Report generated; no runtime adoption,research_complete
149,2026-05-27,Monitoring,script,Phase 149 symbol validation update,Script run_phase149_symbol_validation_update.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase149_symbol_validation_update.json,Report generated; no runtime adoption,research_complete
150,2026-05-27,Exit,script,Phase 150 urgent exit failure review,Script run_phase150_urgent_exit_failure_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase150_urgent_exit_failure_review.json,Report generated; no runtime adoption,research_complete
151,2026-05-27,Exit,script,Phase 151 take exit shadow review,Script run_phase151_take_exit_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase151_take_exit_shadow_review.json,Report generated; no runtime adoption,research_complete
152,2026-05-27,Monitoring,script,Phase 152 stop hit loss review,Script run_phase152_stop_hit_loss_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase152_stop_hit_loss_review.json,Report generated; no runtime adoption,research_complete
153a,2026-05-27,Risk,script,Phase 153a low price risk review,Script run_phase153a_low_price_risk_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase153a_low_price_risk_review.json,Report generated; no runtime adoption,research_complete
153b,2026-05-27,Entry,script,Entry price risk guard (min price / tick ratio),Script run_phase153b_entry_price_risk_guard_shadow_review.py,runtime,none,none,active,adopted,false,,kabu_native/results/reports/phase153b_entry_price_risk_guard_shadow_review.json,Report generated; no runtime adoption,Production runtime (Stack C)
153c,2026-05-27,Universe,script,Phase 153c universe low price diagnosis,Script run_phase153c_universe_low_price_diagnosis.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase153c_universe_low_price_diagnosis.json,Report generated; no runtime adoption,research_complete
153d,2026-05-27,Universe,script,Phase 153d price risk universe filter review,Script run_phase153d_price_risk_universe_filter_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase153d_price_risk_universe_filter_review.json,Report generated; no runtime adoption,research_complete
154,2026-05-27,Risk,script,Phase 154 daily runner price risk shadow review,Script run_phase154_daily_runner_price_risk_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase154_daily_runner_price_risk_shadow_commands_20260525.json,Report generated; no runtime adoption,research_complete
154a,2026-05-27,Monitoring,script,Phase 154a trial policy fix review,Script run_phase154a_trial_policy_fix_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase154a_trial_policy_fix_review.json,Report generated; no runtime adoption,research_complete
155,2026-05-27,Position,script,Phase 155 kabu register capacity fix,Script run_phase155_kabu_register_capacity_fix.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase155_kabu_register_capacity_fix.json,Report generated; no runtime adoption,research_complete
156,2026-05-27,Position,script,Phase 156 intraday refresh cap5 review,Script run_phase156_intraday_refresh_cap5_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase156_intraday_refresh_cap5_design.json,Report generated; no runtime adoption,research_complete
157,2026-05-27,Data,script,Phase 157 intraday refresh runner review,Script run_phase157_intraday_refresh_runner_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase157_intraday_refresh_runner_review.json,Report generated; no runtime adoption,research_complete
158,2026-05-27,Position,script,Phase 158 cap3 vs cap5 review,Script run_phase158_cap3_vs_cap5_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase158_cap3_vs_cap5_review.json,Report generated; no runtime adoption,research_complete
159,2026-05-27,Monitoring,script,Phase 159 overlap review,Script run_phase159_overlap_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase159_overlap_review.json,Report generated; no runtime adoption,research_complete
160,2026-05-27,Exit,script,Phase 160 fade exit review,Script run_phase160_fade_exit_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase160_fade_exit_review.json,Report generated; no runtime adoption,research_complete
161,2026-05-27,Monitoring,script,Phase 161 fade shadow policy review,Script run_phase161_fade_shadow_policy_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase161_fade_shadow_policy_review.json,Report generated; no runtime adoption,research_complete
162,2026-05-27,Monitoring,script,Phase 162 fade hybrid shadow review,Script run_phase162_fade_hybrid_shadow_review.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase162_daily_runner_commands.json,Report generated; no runtime adoption,research_complete
163,2026-05-27,Replay,script,Phase 163 replay mismatch review,Script run_phase163_replay_mismatch_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase163_replay_mismatch_review.json,Report generated; no runtime adoption,research_complete
164,2026-05-27,Monitoring,script,Phase 164 fade hybrid refinement review,Script run_phase164_fade_hybrid_refinement_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase164_fade_hybrid_refinement_review.json,Report generated; no runtime adoption,research_complete
165,2026-05-27,Monitoring,script,Phase 165 overlap close policy review,Script run_phase165_overlap_close_policy_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase165_overlap_close_policy_review.json,Report generated; no runtime adoption,research_complete
166,2026-05-27,Exit,script,Fade breakdown EXIT,Script run_phase166_fade_breakdown_shadow_review.py,shadow,inactive,active,inactive,rejected,false,,kabu_native/results/reports/phase166_daily_runner_commands.json,Report generated; no runtime adoption,Evaluated and rejected for production
167,2026-05-27,Monitoring,script,Phase 167 4392 retained gate fix review,Script run_phase167_4392_retained_gate_fix_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase167_4392_retained_gate_fix_review.json,Report generated; no runtime adoption,research_complete
167,2026-05-27,Monitoring,script,Phase 167 shadow guard audit,Script run_phase167_shadow_guard_audit.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase167_4392_retained_gate_fix_review.json,Report generated; no runtime adoption,research_complete
168,2026-05-27,Entry,script,Phase 168 entry price risk guard missing price fix,Script run_phase168_entry_price_risk_guard_missing_price_fix.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase168_entry_price_risk_guard_missing_price_fix.json,Report generated; no runtime adoption,research_complete
168,2026-05-27,Monitoring,script,Phase 168 post fix verification,Script run_phase168_post_fix_verification.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase168_entry_price_risk_guard_missing_price_fix.json,Report generated; no runtime adoption,research_complete
169,2026-05-27,Data,script,Phase 169 intraday refresh audit,Script run_phase169_intraday_refresh_audit.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase169_intraday_refresh_audit.json,Report generated; no runtime adoption,research_complete
170,2026-05-27,Data,script,Phase 170 intraday refresh hook fix,Script run_phase170_intraday_refresh_hook_fix.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase170_intraday_refresh_hook_fix.json,Report generated; no runtime adoption,research_complete
172,2026-05-30,Exit,script,Phase 172 exit metric redesign review,Script run_phase172_exit_metric_redesign_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase172_exit_metric_redesign_review.json,Report generated; no runtime adoption,research_complete
173,2026-05-30,Exit,script,Phase 173 exit redesign multisession review,Script run_phase173_exit_redesign_multisession_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase173_exit_redesign_multisession_review.json,Report generated; no runtime adoption,research_complete
174,2026-05-30,Monitoring,script,Fixed trailing MFE 0.8%/50%,Script run_phase174_trailing_mfe_shadow_review.py,removed,none,active,removed,superseded,true,332,kabu_native/results/reports/phase174_trailing_mfe_shadow_review.json,Report generated; no runtime adoption,Superseded by Phase 332
175,2026-05-30,Monitoring,script,Phase 175 pre live execution verification,Script run_phase175_pre_live_execution_verification.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase175_pre_live_execution_verification.json,Report generated; no runtime adoption,research_complete
176,2026-05-30,Data,script,Phase 176 intraday refresh patch verification,Script run_phase176_intraday_refresh_patch_verification.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase176_intraday_refresh_patch_verification.json,Report generated; no runtime adoption,research_complete
176,2026-05-30,Data,script,Phase 176 intraday refresh stop root cause,Script run_phase176_intraday_refresh_stop_root_cause.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase176_intraday_refresh_patch_verification.json,Report generated; no runtime adoption,research_complete
176b,2026-05-30,Data,script,Phase 176b intraday refresh live shadow audit,Script run_phase176b_intraday_refresh_live_shadow_audit.py,shadow,inactive,active,inactive,observe,false,,kabu_native/results/reports/phase176b_intraday_refresh_live_shadow_audit.json,Report generated; no runtime adoption,research_complete
177,2026-05-30,Monitoring,script,Phase 177 daytrade suitability accepted symbol review,Script run_phase177_daytrade_suitability_accepted_symbol_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase177_daytrade_suitability_accepted_symbol_review.json,Report generated; no runtime adoption,research_complete
